Profile,Profile Name,Best Card Overall,Best Card Net Annual Value CAD,Best Card with Welcome Bonus CAD,Best No-Fee Card,Best No-Fee Card Net Value CAD,Worst Card for This Profile,Worst Card Net Annual Value CAD,Value Gap Best vs Worst CAD,Annual Spend Total CAD
Profile 1,Recent Grad,Scotiabank Gold American Express,348.0,623.0,PC Financial World Elite Mastercard,216.6,Brim World Elite Mastercard,17.0,331.0,11400.0
Profile 2,Young Professional,Scotiabank Gold American Express,685.2,960.2,Simplii Financial Cash Back Visa,366.6,RBC Avion Visa Infinite,142.5,542.7,20040.0
Profile 3,Dual Income Household,Scotiabank Gold American Express,1222.8,1497.8,PC Financial World Elite Mastercard,602.4,RBC Avion Visa Infinite,328.5,894.3,33960.0
